flight_id,flight_date,terminal,aircraft_type,arrival_time,scheduled_turnaround_min,actual_turnaround_min,delay_minutes,departure_time
FL00001,2024-07-19,T3,B737,18:46:00,55,52,0,19:38:00
FL00002,2024-01-20,T2,A320,14:20:00,40,60,20,15:20:00
FL00003,2024-08-16,T1,A321,21:34:00,45,64,19,22:38:00
FL00004,2024-06-11,T3,A320,18:50:00,45,49,4,19:39:00
FL00005,2024-06-13,T3,B787,18:15:00,40,51,11,19:06:00
FL00006,2024-08-19,T3,B737,17:24:00,55,76,21,18:40:00
FL00007,2024-11-23,T2,B737,02:01:00,45,60,15,03:01:00
FL00008,2024-08-25,T2,A320,07:46:00,50,65,15,08:51:00
FL00009,2024-04-29,T2,B787,20:38:00,40,45,5,21:23:00
FL00010,2024-12-16,T3,A321,05:30:00,45,48,3,06:18:00
FL00011,2024-04-16,T3,B787,01:27:00,45,50,5,02:17:00
FL00012,2024-09-06,T2,B737,23:16:00,40,58,18,00:14:00
FL00013,2024-12-01,T1,B787,18:43:00,55,56,1,19:39:00
FL00014,2024-10-10,T2,A320,14:31:00,40,35,0,15:06:00
FL00015,2024-07-16,T3,B787,02:10:00,50,58,8,03:08:00
FL00016,2024-08-07,T3,A320,22:12:00,55,60,5,23:12:00
FL00017,2024-05-30,T3,B787,12:49:00,45,53,8,13:42:00
FL00018,2024-10-12,T3,B787,05:43:00,55,72,17,06:55:00
FL00019,2024-09-21,T3,A320,23:57:00,40,52,12,00:49:00
FL00020,2024-08-07,T3,A320,13:25:00,55,79,24,14:44:00
FL00021,2024-08-03,T2,A321,06:25:00,45,66,21,07:31:00
FL00022,2024-11-10,T3,A321,20:15:00,45,48,3,21:03:00
FL00023,2024-06-04,T3,B787,15:55:00,45,51,6,16:46:00
FL00024,2024-08-03,T3,B737,04:36:00,45,53,8,05:29:00
FL00025,2024-11-30,T3,B737,19:44:00,40,63,23,20:47:00
FL00026,2024-12-24,T3,A321,07:39:00,40,46,6,08:25:00
FL00027,2024-04-23,T1,A321,22:17:00,50,47,0,23:04:00
FL00028,2024-06-09,T2,B787,00:21:00,40,43,3,01:04:00
FL00029,2024-10-29,T2,A320,04:12:00,45,55,10,05:07:00
FL00030,2024-04-07,T1,A320,12:27:00,50,65,15,13:32:00
FL00031,2024-06-05,T1,A320,14:16:00,55,76,21,15:32:00
FL00032,2024-06-10,T3,B737,07:54:00,40,38,0,08:32:00
FL00033,2024-02-11,T2,B737,18:02:00,40,55,15,18:57:00
FL00034,2024-06-28,T2,B737,08:30:00,50,71,21,09:41:00
FL00035,2024-10-29,T1,B737,11:39:00,40,47,7,12:26:00
FL00036,2024-11-25,T2,A320,16:15:00,40,52,12,17:07:00
FL00037,2024-02-20,T2,B787,03:09:00,40,42,2,03:51:00
FL00038,2024-09-08,T3,B787,15:57:00,45,63,18,17:00:00
FL00039,2024-12-15,T3,B737,11:26:00,50,68,18,12:34:00
FL00040,2024-04-29,T3,B737,15:57:00,50,52,2,16:49:00
FL00041,2024-03-15,T2,A320,09:22:00,45,55,10,10:17:00
FL00042,2024-06-10,T2,A320,21:07:00,50,67,17,22:14:00
FL00043,2024-05-28,T3,B787,13:51:00,55,62,7,14:53:00
FL00044,2024-05-02,T3,A321,19:14:00,40,36,0,19:50:00
FL00045,2024-05-20,T2,B787,10:46:00,45,63,18,11:49:00
FL00046,2024-06-30,T2,B787,00:20:00,55,71,16,01:31:00
FL00047,2024-10-03,T1,B787,14:00:00,45,60,15,15:00:00
